AccountId,TransactionId,TransactionId_OBIE,BookingDateTime,ValueDateTime,RawDateString,InstructedAmount,TransactionAmount,Currency,OriginalCurrency,ExchangeRate,TransactionType,MerchantCategoryCode,BankTransactionCode,ProprietaryBankTransactionCode,Reference,Balance,CounterpartyName,CounterpartyAccount,Status,merchant_name,category
A002,T850534,O2769487,2025-12-19 22:02:08,2025-12-19 22:02:08,,1500,1500,EUR,EUR,,Credit,6011,BTC816,PBC191,REF96474,2364.94,,,Booked,PAYROLL LTD,Income
A001,T360864,O3012883,2025-08-12 10:25:37,2025-08-12 10:25:37,,2500,2500,GBP,GBP,,Debit,6011,BTC690,PBC288,REF26802,13932.43,,,Booked,PAYROLL LTD, Income 
A002,T597529,O6893182,2025-10-28 08:20:21,2025-10-29 08:20:21,,-212.67,-212.67,EUR,EUR,,Credit,4899,BTC811,PBC145,REF60002,7872.13,,,Booked, netflix,Streaming / Subscriptions 
A002,T663847,O8555354,2025-07-02 09:48:09,2025-07-02 09:48:09,,-195.67,-195.67,EUR,EUR,,Credit,4121,BTC754,PBC548,REF86386,17347.92,,,Booked,uber,Transport 
A001,T994164,O7854309,2025-01-18 06:06:30,2025-01-19 06:06:30,18-01-2025 06:06:30,-216.18,-216.18,GBP,GBP,,Debit,6012,BTC238,PBC835,REF68473,12410.48,,,Booked,Overdraft Fee, Bank Fees
A003,T851759,O2103070,2025-10-18 15:57:19,2025-10-18 15:57:19,,-85.99,-85.99,USD,USD,,Refund,4121,BTC726,PBC188,REF27009,10039.61,,,Booked,Uber, Transport Services
A003,T885734,O3976601,2025-08-27 12:03:11,2025-08-27 12:03:11,,1000,1000,USD,USD,,Transfer,6012,BTC906,PBC675,REF85010,18561.08,,,Booked, Overdraft Fee ,Bank Fees
A003,T140372,O4903596,2025-01-01 20:02:22,2025-01-01 20:02:22,2025-01-01 20:02:22,-1000,-1000,USD,USD,,Debit,6513,BTC771,PBC150,REF90995,13373.27,,,Booked,LANDLORD LTD, Rent / Mortgage
A002,T843788,O3762487,2025-11-27 08:08:20,2025-11-28 08:08:20,,-19.46,-19.46,EUR,EUR,,Debit,4812,BTC256,PBC411,REF77908,6266.48,,,Booked,Verzion , Mobile / Telecom
A002,T151489,O9136201,2025-05-27 21:59:58,2025-05-27 21:59:58,"May 27, 2025 09:59 PM",-94.43,-94.43,EUR,EUR,,Refund,5812,BTC252,PBC321,REF23051,9077.73,,,Booked, Starbucks ,Food & Drink
A001,T688534,O4763253,2025-06-01 22:06:01,2025-06-01 22:06:01,01-06-2025 22:06:01,-75.22,-75.22,GBP,GBP,,Refund,4899,BTC730,PBC988,REF23432,3989.5,,,Booked,Netflix ,Streaming / Subscriptions
A001,T247414,O8061842,2025-02-19 20:34:11,2025-02-19 20:34:11,,-94.32,-94.32,GBP,GBP,,Transfer,7230,BTC127,PBC885,REF83257,15519.27,,,Booked, Hair Salon,Personal Care 
A003,T979041,O1714496,2025-08-28 19:05:23,2025-08-29 19:05:23,,-114.76,-114.76,USD,USD,,Debit,4121,BTC795,PBC728,REF61496,8902.27,,,Pending, Ubre,Transport
A002,T688640,O9141482,2025-12-03 06:24:09,2025-12-04 06:24:09,,2000,2000,EUR,EUR,,Debit,6011,BTC741,PBC967,REF73620,12044.75,,,Booked,PAYROLL LTD,Income
A003,T522857,O7161848,2025-12-10 12:12:44,2025-12-10 12:12:44,,-432.5,-432.5,USD,USD,,Transfer,5311,BTC846,PBC413,REF86607,10783.36,,,Booked,Target ,Retail
A001,T847949,O6457472,2025-01-28 06:21:27,2025-01-28 06:21:27,,-334.87,-334.87,GBP,GBP,,Credit,7997,BTC160,PBC729,REF32176,5258.51,,,Booked,Gymbox, Fitness
A002,T444136,O1435739,2025-09-03 09:43:03,2025-09-04 09:43:03,,-39.84,-39.84,EUR,EUR,,Debit,4899,BTC447,PBC766,REF23274,1268.14,,,Booked,netflix ,Streaming / Subscriptions
A001,T510654,O9337532,2025-03-20 10:51:49,2025-03-21 10:51:49,2025/03/20 10:51:49,-36.81,-36.81,GBP,GBP,,Refund,5812,BTC287,PBC763,REF54220,14057.87,,,Pending,tSarbucks,Food & Drink
A003,T629554,O8946752,2025-01-04 11:40:07,2025-01-04 11:40:07,,2000,2000,USD,USD,,Debit,6011,BTC351,PBC954,REF10863,789.91,,,Pending,payroll ltd,Income
A001,T772612,O1476028,2025-12-10 08:16:12,2025-12-11 08:16:12,,-191.49,-191.49,GBP,GBP,,Transfer,4812,BTC142,PBC945,REF83874,12673.73,,,Booked,Verizon,Mobile / Telecom
